key,label,description
prestige,声望,她在后宫中的名声与体面。影响位分、评价和受罚后的处境。
favor,宠爱,皇帝对她的眷顾。影响侍寝机会和遇事时的余地。
fortune,福德,她的福缘与避祸余量。影响遭遇变故时的转圜。
ambition,野心,她主动争取权势的倾向。影响她是否更爱走动、试探或筹谋。
stress,压力,她当前承受的焦虑与危险感。影响情绪、健康和行事激烈程度。
familyBackground,家世,她入宫前的出身与依靠。影响人脉、底气和旁人看待她的方式。
health,健康,她的身体状态。影响病弱、受害和长期安稳。
intrigue,心计,她识局、设局和避局的能力。影响试探、谋划和自保。
appearance,容貌,她的外貌吸引力。影响宠爱竞争和社交印象。
temperament,气质,她的仪态与场面表现。影响宴饮、会面和才艺观感。
relationToPlayer,好感,她对玩家的亲疏态度。影响会面回应、送礼效果和是否替你说话。
affection,倾情,她对玩家的特殊情感倾向。影响亲密事件和私下互动。
childrenCount,子嗣,她已有子女数量。影响后宫地位和长期评价。
