workId,type,name,rarity,requiredStatKey,supportStatKey,unlockStatKey,unlockStatMin,difficulty,basePrice,baseFavorDelta,description
embroidered-sachet,embroidery,并蒂莲纹,green,embroidery,temperament,embroidery,0,55,60,4,取并蒂莲意象入针，题意温婉，适合作寻常人情。
brocade-handkerchief,embroidery,霁月流光,blue,embroidery,temperament,embroidery,25,110,110,7,银线压出清光，针脚稳时最显心思细密。
hundred-butterfly-fan,embroidery,百蝶穿花,purple,embroidery,temperament,embroidery,55,220,220,11,百蝶错落，花枝相迎，成品华丽，适合送给讲究排场的人。
cloud-crane-brocade,embroidery,流云瑞鹤,green,embroidery,temperament,embroidery,15,80,85,5,云纹与鹤影相衔，针路不繁，却贵在气韵连贯。
gold-peony-thread,embroidery,金缕牡丹,blue,embroidery,temperament,embroidery,40,150,150,8,牡丹以金线挑边，若绣得稳，最有富贵堂皇之态。
moon-osmanthus-stitch,embroidery,月下折桂,blue,embroidery,poetry,embroidery,50,175,175,9,桂枝映月，题意清雅，针法与留白都不可粗疏。
phoenix-ninefold,embroidery,九华鸾凤,purple,embroidery,temperament,embroidery,70,280,280,13,鸾凤层羽繁复，极考针脚与配色。
river-mist-silk,embroidery,湘竹烟雨,purple,embroidery,poetry,embroidery,80,340,340,15,湘竹入烟雨，层次细密，成品最见耐心与功底。
plum-blossom-scroll,painting,寒梅照雪,green,painting,poetry,painting,0,70,70,4,寒梅一枝，重在留白与骨气，题赠时不显俗气。
pine-wind-scroll,painting,松风听泉,blue,painting,poetry,painting,25,135,135,8,松下风声入纸，若笔势稳，便有清雅之气。
running-script-copybook,painting,兰亭余韵,purple,painting,poetry,painting,55,260,260,12,行草最见心气与腕力，写得好时极易让懂字的人多看一眼。
bamboo-shadow-ink,painting,墨竹清影,green,painting,poetry,painting,15,90,90,5,竹影疏朗，贵在骨力，不宜堆砌。
autumn-river-ferry,painting,秋江待渡,blue,painting,poetry,painting,35,155,155,8,秋江一线，远舟待渡，笔墨要稳而不滞。
green-mountain-scroll,painting,青绿千峰,blue,painting,temperament,painting,50,190,190,9,青绿设色最怕俗艳，需兼顾气质与章法。
luoshen-riverside,painting,洛神临水,purple,painting,poetry,painting,70,310,310,14,水畔人物与衣纹皆难，若成，最显才情。
misty-mountain-evening,painting,溪山暮霭,purple,painting,temperament,painting,80,360,360,15,暮霭层叠，山势藏露，需笔墨与气韵俱足。
clear-heart-incense,incense,清心,green,medicine,temperament,medicine,0,55,55,3,气味清浅，适合日常赠礼，也不容易出错。
aloeswood-incense-pill,incense,沉水,blue,medicine,temperament,medicine,25,150,150,8,沉水香气厚重，调和得当时最显稳妥。
chanmeng-incense,incense,缠梦,purple,medicine,temperament,medicine,55,310,310,13,香气幽深难驯，若制得精妙，足以成为一件稀罕礼物。
hengwu-incense,incense,蘅芜,green,medicine,temperament,medicine,15,80,80,5,清草与花气相生，香意淡雅。
snow-spring-incense,incense,雪中春信,blue,medicine,poetry,medicine,35,165,165,8,冷香里藏一线暖意，调和轻重最要紧。
ruinao-incense,incense,瑞脑,blue,medicine,temperament,medicine,45,190,190,9,香气明净，余韵较长，需火候稳。
return-soul-incense,incense,返魂,purple,medicine,temperament,medicine,70,330,330,14,香意浓而不烈，层次极难压住。
moon-kylin-incense,incense,月麟,purple,medicine,poetry,medicine,80,380,380,16,清冷处含瑞气，配伍稍差便失其神。
