templateId,portraitId,name,familyBackground,personality,summary,ageMin,ageMax,possibleRanks,possibleResidences,prestige,favor,familyInfluence,health,appearance,relationToPlayer,childrenCount,ambition,stress,intrigue,temperament,affection,fortune
chenmiaoyi,陈妙仪,陈妙仪,画院供奉之女,清疏自持,擅丹青，最懂如何把情绪藏进笑意和笔墨之间。,16,20,美人|才人|贵人,披香殿东偏殿|临华殿西偏殿|永宁宫西偏殿,58,41,46,69,80,0,0,49,26,56,84,0,60
huatang,花棠,花棠,南曲名伶抬籍,明媚轻狂,进退都像唱词，越是人多的地方，她越显得光彩夺目。,17,21,贵人|美人|才人,昭华殿西偏殿|长春宫东偏殿|玉清宫东偏殿,62,56,38,72,91,0,0,61,29,47,79,0,58
jiangzhi,姜芷,姜芷,太医院旁支医女,沉静耐心,看诊时比谁都温和，轮到自己谋算时却从不手软。,18,22,贵人|常在|美人,永和宫东偏殿|钟粹宫西偏殿|临华殿东偏殿,54,35,44,86,72,0,0,42,19,64,75,0,67
liruoyao,李若瑶,李若瑶,礼部侍郎嫡女,端肃守矩,在规矩里长大，也最擅借规矩钳制旁人。,17,22,嫔|贵人|婕妤,永宁宫主殿|昭阳宫东偏殿|启祥宫东偏殿,68,44,78,70,76,0,1,58,31,69,83,0,52
lianqiao,连翘,连翘,御前女官抬位,灵巧细致,看着总是笑意盈盈，可每一眼都落在最要紧的地方。,16,20,才人|美人|常在,玉清宫西偏殿|延禧宫东偏殿|临华殿西偏殿,52,39,35,71,77,0,0,47,24,58,81,0,69
rongkeer,容可儿,容可儿,商贾义女,甜软机敏,最会看人下菜碟，一张笑脸能哄住半个宫。,16,19,美人|贵人|才人,昭华殿东偏殿|启祥宫西偏殿|钟粹宫西偏殿,50,34,42,74,82,0,0,55,22,63,71,0,74
shuilanting,水兰婷,水兰婷,边地贡女,冷艳寡言,平日里话少，动起念头来却极果断，很少给人第二次机会。,18,22,贵人|嫔|美人,永和宫主殿|长春宫西偏殿|启祥宫东偏殿,66,46,58,80,88,0,0,72,35,74,78,0,45
sunyuee,孙玉娥,孙玉娥,工部郎中庶女,务实隐忍,宫里的账、人情和短长，她都记得很牢，从不白白吃亏。,18,23,常在|贵人|才人,临华殿主殿|延禧宫西偏殿|玉清宫东偏殿,48,27,51,68,70,0,1,57,28,67,64,0,57
yelinshan,叶琳珊,叶琳珊,旧勋门第嫡女,傲气清贵,门第好，气性也高，最看不起靠取巧上位的人。,17,21,婕妤|贵人|嫔,昭阳宫西偏殿|永宁宫东偏殿|钟粹宫主殿,72,43,82,75,79,0,0,64,33,60,85,0,51
yuqiuchi,虞秋池,虞秋池,地方守臣嫡女,沉静孤高,极少主动亲近谁，偏偏越是如此，越容易让人记住。,18,22,嫔|贵人|美人,昭华殿主殿|启祥宫西偏殿|长春宫东偏殿,70,40,75,77,84,0,0,69,30,72,87,0,50
chengxueyan,程雪砚,程雪砚,翰林掌书记之女,冷静善记,说话不多，却能把旁人一句半句都记进心里，最擅在旧账里找破绽。,17,22,才人|贵人|美人,披香殿西偏殿|永宁宫东偏殿|钟粹宫东偏殿,55,31,64,66,73,0,0,52,24,78,82,0,56
ashinamz,阿史那明珠,阿史那明珠,北境归附部族贵女,爽利好胜,不太会绕弯，却极看重输赢与承诺；若被人轻慢，反击也来得最快。,18,23,贵人|嫔|美人,长春宫西偏殿|启祥宫西偏殿|昭阳宫东偏殿,64,38,67,88,81,0,0,70,27,45,76,0,48
wenrenzy,闻人照月,闻人照月,香药世家庶女,温软多疑,袖间常带淡香，面上温顺，心里却把每一次示好都反复称量。,16,21,美人|贵人|常在,延禧宫东偏殿|临华殿东偏殿|玉清宫西偏殿,53,45,50,70,86,0,0,60,34,76,80,0,54
zhoulianxing,周怜星,周怜星,钦天监少监侄女,敏感谨慎,常把天象、时辰与人心连在一起看，怕事却不糊涂，最容易提前察觉风向。,16,20,常在|才人|美人,钟粹宫东偏殿|昭华殿西偏殿|永宁宫西偏殿,47,29,48,62,75,0,0,37,42,70,84,0,78
